Position,Name,ELO,Date,Age,Year,Age_Group,ELO_Change,Era,Is_World_No1,Appearances
7,Adams,2715,2000 Jan,28,2000,26-30,0,Kasparov Era,No,13
4,Adams,2746,2001 Jan,29,2001,26-30,31,Kasparov Era,No,13
4,Adams,2742,2002 Jan,30,2002,26-30,-4,Kasparov Era,No,13
6,Adams,2734,2003 Jan,31,2003,31-35,-8,Kasparov Era,No,13
11,Adams,2720,2004 Jan,32,2004,31-35,-14,Kasparov Era,No,13
7,Adams,2741,2005 Jan,33,2005,31-35,21,Kasparov Era,No,13
17,Adams,2707,2006 Jan,34,2006,31-35,-34,Kasparov Era,No,13
9,Adams,2735,2007 Jan,35,2007,31-35,28,Transition,No,13
16,Adams,2726,2008 Jan,36,2008,36+,-9,Transition,No,13
13,Adams,2754,2014 Jan,42,2014,36+,28,Carlsen Era,No,13
17,Adams,2738,2015 Jan,43,2015,36+,-16,Carlsen Era,No,13
20,Adams,2744,2016 Jan,44,2016,36+,6,Carlsen Era,No,13
17,Adams,2751,2017 Jan,45,2017,36+,7,Carlsen Era,No,13
11,Akopian,2703,2003 Jan,31,2003,31-35,0,Kasparov Era,No,5
19,Akopian,2693,2004 Jan,32,2004,31-35,-10,Kasparov Era,No,5
17,Akopian,2693,2005 Jan,33,2005,31-35,0,Kasparov Era,No,5
18,Akopian,2704,2006 Jan,34,2006,31-35,11,Kasparov Era,No,5
20,Akopian,2700,2007 Jan,35,2007,31-35,-4,Transition,No,5
20,Alekseev,2711,2008 Jan,22,2008,17-25,0,Transition,No,1
18,Almasi,2676,2000 Jan,23,2000,17-25,0,Kasparov Era,No,1
2,Anand,2769,2000 Jan,30,2000,26-30,0,Kasparov Era,No,22
2,Anand,2790,2001 Jan,31,2001,31-35,21,Kasparov Era,No,22
3,Anand,2757,2002 Jan,32,2002,31-35,-33,Kasparov Era,No,22
3,Anand,2753,2003 Jan,33,2003,31-35,-4,Kasparov Era,No,22
3,Anand,2766,2004 Jan,34,2004,31-35,13,Kasparov Era,No,22
2,Anand,2786,2005 Jan,35,2005,31-35,20,Kasparov Era,No,22
3,Anand,2792,2006 Jan,36,2006,36+,6,Kasparov Era,No,22
2,Anand,2779,2007 Jan,37,2007,36+,-13,Transition,No,22
2,Anand,2799,2008 Jan,38,2008,36+,20,Transition,No,22
2,Anand,2791,2009 Jan,39,2009,36+,-8,Transition,No,22
3,Anand,2790,2010 Jan,40,2010,36+,-1,Carlsen Era,No,22
2,Anand,2810,2011 Jan,41,2011,36+,20,Carlsen Era,No,22
4,Anand,2799,2012 Jan,42,2012,36+,-11,Carlsen Era,No,22
7,Anand,2772,2013 Jan,43,2013,36+,-27,Carlsen Era,No,22
9,Anand,2773,2014 Jan,44,2014,36+,1,Carlsen Era,No,22
5,Anand,2797,2015 Jan,45,2015,36+,24,Carlsen Era,No,22
8,Anand,2784,2016 Jan,46,2016,36+,-13,Carlsen Era,No,22
6,Anand,2786,2017 Jan,47,2017,36+,2,Carlsen Era,No,22
11,Anand,2767,2018 Jan,48,2018,36+,-19,Carlsen Era,No,22
8,Anand,2773,2019 Jan,49,2019,36+,6,Carlsen Era,No,22
13,Anand,2758,2020 Jan,50,2020,36+,-15,Carlsen Era,No,22
16,Anand,2753,2021 Jan,51,2021,36+,-5,Carlsen Era,No,22
18,Andreikin,2737,2015 Jan,24,2015,17-25,0,Carlsen Era,No,1
5,Aronian,2752,2006 Jan,23,2006,17-25,0,Kasparov Era,No,16
7,Aronian,2744,2007 Jan,24,2007,17-25,-8,Transition,No,16
10,Aronian,2739,2008 Jan,25,2008,17-25,-5,Transition,No,16
11,Aronian,2750,2009 Jan,26,2009,26-30,11,Transition,No,16
5,Aronian,2781,2010 Jan,27,2010,26-30,31,Carlsen Era,No,16
3,Aronian,2805,2011 Jan,28,2011,26-30,24,Carlsen Era,No,16
2,Aronian,2805,2012 Jan,29,2012,26-30,0,Carlsen Era,No,16
3,Aronian,2802,2013 Jan,30,2013,26-30,-3,Carlsen Era,No,16
2,Aronian,2812,2014 Jan,31,2014,31-35,10,Carlsen Era,No,16
6,Aronian,2797,2015 Jan,32,2015,31-35,-15,Carlsen Era,No,16
4,Aronian,2792,2016 Jan,33,2016,31-35,-5,Carlsen Era,No,16
9,Aronian,2780,2017 Jan,34,2017,31-35,-12,Carlsen Era,No,16
4,Aronian,2797,2018 Jan,35,2018,31-35,17,Carlsen Era,No,16
10,Aronian,2767,2019 Jan,36,2019,36+,-30,Carlsen Era,No,16
6,Aronian,2773,2020 Jan,37,2020,36+,6,Carlsen Era,No,16
6,Aronian,2781,2021 Jan,38,2021,36+,8,Carlsen Era,No,16
19,Azmaiparashvili,2675,2000 Jan,39,2000,36+,0,Kasparov Era,No,1
9,Bacrot,2715,2005 Jan,21,2005,17-25,0,Kasparov Era,No,4
13,Bacrot,2717,2006 Jan,22,2006,17-25,2,Kasparov Era,No,4
18,Bacrot,2705,2007 Jan,23,2007,17-25,-12,Transition,No,4
17,Bacrot,2738,2014 Jan,30,2014,26-30,33,Carlsen Era,No,4
9,Bareev,2709,2000 Jan,33,2000,31-35,0,Kasparov Era,No,7
11,Bareev,2709,2001 Jan,34,2001,31-35,0,Kasparov Era,No,7
12,Bareev,2707,2002 Jan,35,2002,31-35,-2,Kasparov Era,No,7
8,Bareev,2729,2003 Jan,36,2003,36+,22,Kasparov Era,No,7
14,Bareev,2714,2004 Jan,37,2004,36+,-15,Kasparov Era,No,7
13,Bareev,2709,2005 Jan,38,2005,36+,-5,Kasparov Era,No,7
20,Bareev,2698,2006 Jan,39,2006,36+,-11,Kasparov Era,No,7
19,Bologan,2684,2001 Jan,29,2001,26-30,0,Kasparov Era,No,1
13,Carlsen,2733,2008 Jan,17,2008,17-25,0,Transition,No,14
4,Carlsen,2776,2009 Jan,18,2009,17-25,43,Transition,No,14
1,Carlsen,2810,2010 Jan,19,2010,17-25,34,Carlsen Era,Yes,14
1,Carlsen,2814,2011 Jan,20,2011,17-25,4,Carlsen Era,Yes,14
1,Carlsen,2835,2012 Jan,21,2012,17-25,21,Carlsen Era,Yes,14
1,Carlsen,2861,2013 Jan,22,2013,17-25,26,Carlsen Era,Yes,14
1,Carlsen,2872,2014 Jan,23,2014,17-25,11,Carlsen Era,Yes,14
1,Carlsen,2862,2015 Jan,24,2015,17-25,-10,Carlsen Era,Yes,14
1,Carlsen,2844,2016 Jan,25,2016,17-25,-18,Carlsen Era,Yes,14
1,Carlsen,2840,2017 Jan,26,2017,26-30,-4,Carlsen Era,Yes,14
1,Carlsen,2834,2018 Jan,27,2018,26-30,-6,Carlsen Era,Yes,14
1,Carlsen,2835,2019 Jan,28,2019,26-30,1,Carlsen Era,Yes,14
1,Carlsen,2872,2020 Jan,29,2020,26-30,37,Carlsen Era,Yes,14
1,Carlsen,2862,2021 Jan,30,2021,26-30,-10,Carlsen Era,Yes,14
17,Caruana,2736,2012 Jan,19,2012,17-25,0,Carlsen Era,No,10
5,Caruana,2781,2013 Jan,20,2013,17-25,45,Carlsen Era,No,10
6,Caruana,2782,2014 Jan,21,2014,17-25,1,Carlsen Era,No,10
2,Caruana,2820,2015 Jan,22,2015,17-25,38,Carlsen Era,No,10
5,Caruana,2787,2016 Jan,23,2016,17-25,-33,Carlsen Era,No,10
2,Caruana,2827,2017 Jan,24,2017,17-25,40,Carlsen Era,No,10
2,Caruana,2811,2018 Jan,25,2018,17-25,-16,Carlsen Era,No,10
2,Caruana,2828,2019 Jan,26,2019,26-30,17,Carlsen Era,No,10
2,Caruana,2822,2020 Jan,27,2020,26-30,-6,Carlsen Era,No,10
2,Caruana,2823,2021 Jan,28,2021,26-30,1,Carlsen Era,No,10
19,Cheparinov,2713,2008 Jan,21,2008,17-25,0,Transition,No,1
12,Ding Liren,2766,2016 Jan,23,2016,17-25,0,Carlsen Era,No,6
14,Ding Liren,2760,2017 Jan,24,2017,17-25,-6,Carlsen Era,No,6
9,Ding Liren,2769,2018 Jan,25,2018,17-25,9,Carlsen Era,No,6
4,Ding Liren,2813,2019 Jan,26,2019,26-30,44,Carlsen Era,No,6
3,Ding Liren,2805,2020 Jan,27,2020,26-30,-8,Carlsen Era,No,6
3,Ding Liren,2791,2021 Jan,28,2021,26-30,-14,Carlsen Era,No,6
